Country,EdLevel,YearsCodePro,DevType,OrgSize,RemoteWork,Salary,CountryName,EducationLevel,RemoteWorkLabel,DevTypeLabel,OrgSizeLabel
16,0,23.0,8,6,0,250000.0,United States of America,Bachelor's,Hybrid,Developer,5k-9.9k
16,0,7.0,8,3,0,156000.0,United States of America,Bachelor's,Hybrid,Developer,100-499
15,2,21.0,8,3,2,96828.0,United Kingdom of Great Britain and Northern Ireland,Other,Remote,Developer,100-499
16,2,3.0,8,0,2,135000.0,United States of America,Other,Remote,Developer,1k-4.9k
16,0,3.0,8,1,2,80000.0,United States of America,Bachelor's,Remote,Developer,10-19
0,0,9.0,8,3,2,78003.0,Australia,Bachelor's,Remote,Developer,100-499
16,0,9.0,8,4,2,75000.0,United States of America,Bachelor's,Remote,Developer,2 to 9 employees
16,1,0.5,8,2,0,150000.0,United States of America,Master's,Hybrid,Developer,10k+
9,1,7.0,8,2,0,187407.0,Netherlands,Master's,Hybrid,Developer,10k+
5,1,10.0,8,3,0,107090.0,Germany,Master's,Hybrid,Developer,100-499
13,0,2.0,8,0,0,45149.0,Sweden,Bachelor's,Hybrid,Developer,1k-4.9k
4,1,6.0,8,7,0,58899.0,France,Master's,Hybrid,Developer,500-999
5,2,14.0,8,5,0,75010.0,Germany,Other,Hybrid,Developer,20-99
15,0,6.0,8,5,2,60828.0,United Kingdom of Great Britain and Northern Ireland,Bachelor's,Remote,Developer,20-99
5,3,5.0,4,7,2,85672.0,Germany,Postgraduate,Remote,Data scientist or machine learning specialist,500-999
5,3,10.0,3,7,2,69608.0,Germany,Postgraduate,Remote,Data or business analyst,500-999
12,1,10.0,8,4,0,37481.0,Spain,Master's,Hybrid,Developer,2 to 9 employees
15,0,2.0,8,5,0,38483.0,United Kingdom of Great Britain and Northern Ireland,Bachelor's,Hybrid,Developer,20-99
12,2,15.0,8,2,2,74963.0,Spain,Other,Remote,Developer,10k+
0,0,19.0,21,2,2,237974.0,Australia,Bachelor's,Remote,Security professional,10k+
1,0,5.0,8,7,2,26374.0,Brazil,Bachelor's,Remote,Developer,500-999
5,4,7.0,8,1,0,53545.0,Germany,School,Hybrid,Developer,10-19
8,0,13.0,8,3,0,42836.0,Italy,Bachelor's,Hybrid,Developer,100-499
16,2,15.0,8,3,0,130000.0,United States of America,Other,Hybrid,Developer,100-499
5,1,2.0,8,7,2,53982.0,Germany,Master's,Remote,Developer,500-999
15,0,6.0,8,2,0,136552.0,United Kingdom of Great Britain and Northern Ireland,Bachelor's,Hybrid,Developer,10k+
2,0,2.0,19,3,0,111527.0,Canada,Bachelor's,Hybrid,Research & Development role,100-499
16,0,16.0,8,0,2,165000.0,United States of America,Bachelor's,Remote,Developer,1k-4.9k
16,2,2.0,24,3,0,63000.0,United States of America,Other,Hybrid,System administrator,100-499
2,0,9.0,8,7,2,101490.0,Canada,Bachelor's,Remote,Developer,500-999
14,1,28.0,8,0,0,149894.0,Switzerland,Master's,Hybrid,Developer,1k-4.9k
5,1,9.0,8,0,1,82459.0,Germany,Master's,In-person,Developer,1k-4.9k
9,0,2.0,8,3,1,38552.0,Netherlands,Bachelor's,In-person,Developer,100-499
6,0,6.0,12,3,0,41197.0,India,Bachelor's,Hybrid,Engineer,100-499
8,1,2.0,21,3,2,128507.0,Italy,Master's,Remote,Security professional,100-499
1,0,14.0,8,0,1,24345.0,Brazil,Bachelor's,In-person,Developer,1k-4.9k
5,0,6.0,8,2,0,86528.0,Germany,Bachelor's,Hybrid,Developer,10k+
16,1,24.0,5,3,2,140000.0,United States of America,Master's,Remote,Database administrator,100-499
1,2,9.0,8,3,2,18665.0,Brazil,Other,Remote,Developer,100-499
10,1,5.0,8,4,0,117798.0,Norway,Master's,Hybrid,Developer,2 to 9 employees
16,0,7.0,8,3,1,145000.0,United States of America,Bachelor's,In-person,Developer,100-499
5,1,6.0,8,5,0,85672.0,Germany,Master's,Hybrid,Developer,20-99
4,1,9.0,8,3,2,85672.0,France,Master's,Remote,Developer,100-499
16,0,10.0,24,7,2,200990.0,United States of America,Bachelor's,Remote,System administrator,500-999
5,1,25.0,8,0,0,96381.0,Germany,Master's,Hybrid,Developer,1k-4.9k
6,0,6.0,8,2,2,18175.0,India,Bachelor's,Remote,Developer,10k+
16,0,12.0,8,7,2,118000.0,United States of America,Bachelor's,Remote,Developer,500-999
16,1,6.0,3,3,2,150000.0,United States of America,Master's,Remote,Data or business analyst,100-499
14,0,4.0,8,4,0,121238.0,Switzerland,Bachelor's,Hybrid,Developer,2 to 9 employees
16,1,20.0,8,2,2,200000.0,United States of America,Master's,Remote,Developer,10k+
2,0,5.0,4,1,0,52046.0,Canada,Bachelor's,Hybrid,Data scientist or machine learning specialist,10-19
9,0,7.0,8,3,0,71326.0,Netherlands,Bachelor's,Hybrid,Developer,100-499
15,0,12.0,16,3,0,55862.0,United Kingdom of Great Britain and Northern Ireland,Bachelor's,Hybrid,Other (please specify):,100-499
5,4,3.0,2,7,0,48190.0,Germany,School,Hybrid,Cloud infrastructure engineer,500-999
6,1,8.0,8,5,2,24234.0,India,Master's,Remote,Developer,20-99
12,0,3.0,8,2,0,26772.0,Spain,Bachelor's,Hybrid,Developer,10k+
8,1,18.0,8,0,0,65325.0,Italy,Master's,Hybrid,Developer,1k-4.9k
13,1,24.0,7,6,0,51415.0,Sweden,Master's,Hybrid,DevOps specialist,5k-9.9k
16,0,25.0,8,2,2,170000.0,United States of America,Bachelor's,Remote,Developer,10k+
3,0,30.0,13,2,0,138033.0,Denmark,Bachelor's,Hybrid,Engineering manager,10k+
16,0,19.0,8,2,2,110000.0,United States of America,Bachelor's,Remote,Developer,10k+
16,0,27.0,8,7,0,155000.0,United States of America,Bachelor's,Hybrid,Developer,500-999
6,0,4.0,8,0,2,36351.0,India,Bachelor's,Remote,Developer,1k-4.9k
4,1,8.0,8,5,1,55687.0,France,Master's,In-person,Developer,20-99
5,1,23.0,8,0,0,96381.0,Germany,Master's,Hybrid,Developer,1k-4.9k
5,4,20.0,8,4,0,58899.0,Germany,School,Hybrid,Developer,2 to 9 employees
5,0,4.0,8,2,0,74963.0,Germany,Bachelor's,Hybrid,Developer,10k+
8,2,17.0,5,0,0,56757.0,Italy,Other,Hybrid,Database administrator,1k-4.9k
5,0,7.0,8,2,0,101735.0,Germany,Bachelor's,Hybrid,Developer,10k+
15,0,2.0,8,2,0,71379.0,United Kingdom of Great Britain and Northern Ireland,Bachelor's,Hybrid,Developer,10k+
14,0,3.0,8,3,1,99195.0,Switzerland,Bachelor's,In-person,Developer,100-499
16,1,43.0,8,5,2,170000.0,United States of America,Master's,Remote,Developer,20-99
16,0,7.0,8,1,2,120000.0,United States of America,Bachelor's,Remote,Developer,10-19
5,4,21.0,8,5,1,85672.0,Germany,School,In-person,Developer,20-99
16,1,10.0,13,3,0,130000.0,United States of America,Master's,Hybrid,Engineering manager,100-499
1,0,5.0,8,0,2,30431.0,Brazil,Bachelor's,Remote,Developer,1k-4.9k
13,4,14.0,8,5,1,55285.0,Sweden,School,In-person,Developer,20-99
15,1,7.0,8,2,0,125380.0,United Kingdom of Great Britain and Northern Ireland,Master's,Hybrid,Developer,10k+
4,2,8.0,22,1,0,64254.0,France,Other,Hybrid,Senior Executive (C-Suite,10-19
8,1,19.0,3,5,0,42836.0,Italy,Master's,Hybrid,Data or business analyst,20-99
5,0,25.0,3,0,0,79246.0,Germany,Bachelor's,Hybrid,Data or business analyst,1k-4.9k
16,0,7.0,8,0,2,240000.0,United States of America,Bachelor's,Remote,Developer,1k-4.9k
5,2,38.0,8,5,0,74963.0,Germany,Other,Hybrid,Developer,20-99
5,1,4.0,8,3,0,61041.0,Germany,Master's,Hybrid,Developer,100-499
7,4,18.0,8,2,0,138985.0,Israel,School,Hybrid,Developer,10k+
5,1,3.0,8,5,2,55687.0,Germany,Master's,Remote,Developer,20-99
12,0,2.0,8,7,0,37481.0,Spain,Bachelor's,Hybrid,Developer,500-999
16,0,25.0,2,5,2,150000.0,United States of America,Bachelor's,Remote,Cloud infrastructure engineer,20-99
16,0,33.0,8,5,0,120000.0,United States of America,Bachelor's,Hybrid,Developer,20-99
5,0,10.0,8,5,0,77104.0,Germany,Bachelor's,Hybrid,Developer,20-99
13,0,8.0,8,7,2,130841.0,Sweden,Bachelor's,Remote,Developer,500-999
5,0,25.0,8,3,2,91026.0,Germany,Bachelor's,Remote,Developer,100-499
16,1,29.0,2,9,2,15400.0,United States of America,Master's,Remote,Cloud infrastructure engineer,Freelancer
5,0,14.0,8,1,0,74963.0,Germany,Bachelor's,Hybrid,Developer,10-19
8,0,20.0,18,7,0,74963.0,Italy,Bachelor's,Hybrid,Project manager,500-999
5,0,7.0,8,7,0,80317.0,Germany,Bachelor's,Hybrid,Developer,500-999
8,0,15.0,8,1,1,19276.0,Italy,Bachelor's,In-person,Developer,10-19
14,2,7.0,8,5,1,88173.0,Switzerland,Other,In-person,Developer,20-99
5,1,6.0,8,0,0,58899.0,Germany,Master's,Hybrid,Developer,1k-4.9k
8,3,5.0,0,7,0,21418.0,Italy,Postgraduate,Hybrid,Academic researcher,500-999
